ΚΑΛΛΥΝΤΙΚΑ  ,1728,,,,
ΠΡΟΣΩΠΟ  ,1868,,,,
ΚΑΘΑΡΙΣΜΟΣ - ΝΤΕΜΑΚΙΓΙΑΖ ,1722,,,,
ΥΓΡΑ ΣΑΠΟΥΝΙΑ,1922,1912,1786,1787,1540
ΓΑΛΑΚΤΩΜΑΤΙΑ - LOTION,1651,1912,1787,1587,1588
GEL ΚΑΘΑΡΙΣΜΟΥ,1472,1912,1774,1795,1744
SCRUB (ΑΠΟΛΕΠΙΣΗ),1535,1912,1786,1750,1715
ΜΑΝΤΗΛΑΚΙΑ,1783,1912,1791,1761,1715
ΣΤΕΡΕΑ ΣΑΠΟΥΝΙΑ,1885,1912,1443,1830,1715
ΝΕΡΟ (MICELLAR WATER),1811,1912,1715,1588,1715
ΜΑΣΚΕΣ ΚΑΘΑΡΙΣΜΟΥ,1790,1912,1539,1774,1795
ΑΦΡΟΙ - MOUSSE,1619,1912,1443,1750,1715
ΤΟΝΩΣΗ – ΛΑΜΨΗ – ΠΕΡΙΠΟΙΗΣΗ ,1913,,,,
ΤΟΝΟΤΙΚΕΣ ΛΟΣΙΟΝ (TONERS),1912,1922,1539,1787,1588
ΟΡΟΙ (SERUM),1830,1750,1588,1811,1756
ΛΑΔΙΑ – ΕΛΙΞΗΡΙΑ,1762,1651,1444,1787,1588
ΚΡΕΜΕΣ,1741,1535,1786,1763,1540
BOOSTERS,1442,1588,1741,1535,1922
ΜΑΣΚΕΣ ΛΑΜΨΗΣ,1791,1811,1750,1715,1706
ΑΠΟΤΡΙΧΩΣΗ,1606,1750,1756,1706,
ΕΝΥΔΑΤΩΣΗ ,1693,,,,
ΚΡΕΜΕΣ ΕΝΥΔΑΤΩΣΗΣ,1750,1651,1811,1912,1540
ΚΡΕΜΕΣ BB\CC\DD,1744,1444,1912,,
SERUM,1539,1588,1790,1750,
ΙΑΜΑΤΙΚΑ ΝΕΡΑ,1715,1912,1811,1588,
ΜΑΣΚΕΣ,1786,1535,1619,1912,1444
BOOSTERS,1443,1588,1741,1885,
ΛΑΔΙΑ - ΕΛΙΞΗΡΙΑ,1761,1651,1588,1444,
ΑΝΤΙΓΗΡΑΝΣΗ,1582,,,,
ΑΝΤΙΓΗΡΑΝΤΙΚΕΣ ΚΡΕΜΕΣ,1588,,,,
 ΓΙΑ ΤΙΣ ΠΡΩΤΕΣ ΡΗΤΙΔΕΣ 25+,1424,1922,1912,1790,1535
ΑΝΤΙΓΗΡΑΝΤΙΚΕΣ 35+,1586,1619,1912,1791,1535
ΑΝΤΙΓΗΡΑΝΤΙΚΕΣ ΚΡΕΜΕΣ ΚΑΙ ΣΥΣΦΙΞΗ 45+,1591,1651,1912,1787,1535
ΑΝΤΙΓΗΡΑΝΤΙΚΕΣ ΚΡΕΜΕΣ ΚΑΙ ΕΠΑΝΟΡΘΩΣΗ 55+,1590,1651,1912,1787,1535
ΛΑΙΜΟΣ & ΝΤΕΚΟΛΤΕ,1763,1588,1444,1468,1756
ΑΝΤΙΓΗΡΑΝΤΙΚΕΣ ΑΜΠΟΥΛΕΣ,1587,1468,1697,1444,
ΚΡΕΜΕΣ BB\CC\DD,1745,1539,1912,,
SERUM,1540,1588,1762,1783,
ΜΑΣΚΕΣ,1787,1442,1750,1922,
BOOSTERS,1444,1588,1651,1587,
FILLERS,1468,1786,1830,1591,1912
ΛΑΔΙΑ,1756,1591,1587,1912,1651
ΕΠΙΔΕΡΜΙΔΕΣ ΜΕ ΠΡΟΒΛΗΜΑΤΑ,1698,,,,
ΛΙΠΑΡΟ ΔΕΡΜΑ – ΑΚΜΗ,1774,,,,
ΚΑΘΑΡΙΣΜΟΣ,1718,1790,1742,1683,
ΚΡΕΜΕΣ,1742,1790,1718,1683,
ΕΙΔΙΚΕΣ ΘΕΡΑΠΕΙΕΣ,1683,1790,1742,1718,
ΜΑΥΡΑ ΣΤΙΓΜΑΤΑ,1795,1790,1922,1535,1912
ΕΡΥΘΡΟΤΗΤΑ – ΕΥΡΥΑΓΓΕΙΕΣ – ΚΟΚΚΙΝΙΛΕΣ,1704,1715,1786,,
ΕΥΑΙΣΘΗΤΕΣ ΕΠΙΔΕΡΜΙΔΕΣ,1706,1715,1786,,
ΠΑΝΑΔΕΣ – ΚΗΛΙΔΕΣ,1843,1744,1786,1744,
ΣΗΜΑΔΙΑ- ΟΥΛΕΣ- ΑΝΑΠΛΑΣΗ,1882,1744,1786,1744,
ΜΑΤΙΑ,1793,,,,
ΕΝΥΔΑΤΙΚΕΣ ΚΡΕΜΕΣ,1692,1744,1750,1539,1951
ΑΝΤΙΓΗΡΑΝΤΙΚΕΣ ΚΡΕΜΕΣ,1589,1588,1444,1763,1951
ΚΡΕΜΕΣ ΓΙΑ ΤΟΥΣ ΜΑΥΡΟΥΣ ΚΥΚΛΟΥΣ ΚΑΙ ΤΙΣ ΣΑΚΟΥΛΕΣ,1749,1750,1588,1539,1951
ΚΡΕΜΕΣ ΑΝΟΡΘΩΣΗΣ ΒΛΕΦΑΡΩΝ,1746,1951,1750,1588,1762
SERUM,1951,1539,1692,1589,1749
ΜΑΣΚΕΣ,1788,1951,1692,1589,
ΝΤΕΜΑΚΙΓΙΑΖ ΜΑΤΙΩΝ,1814,1692,1589,,
ΒΛΕΦΑΡΙΔΕΣ – ΦΡΥΔΙΑ,1643,1814,1588,1750,
ΚΡΕΜΕΣ ΠΡΟΣΩΠΟΥ - ΜΑΤΙΩΝ,1751,1539,1444,,
ΧΕΙΛΙΑ,1937,,,,
ΚΡΕΜΕΣ ΓΙΑ ΤΑ ΜΑΤΙΑ ΚΑΙ ΧΕΙΛΗ,1748,1588,1830,,
LIP BALM,1498,1748,1740,1499,
LIP STICK,1500,1748,1740,1499,
ΑΝΤΗΛΙΑΚΑ LIPSTICK,1580,1869,1870,1498,
ΜΑΚΙΓΙΑΖ,1780,,,,
ΜΑΣΚΑΡΑ,1784,1814,1811,1651,1783
ΜΑΣΚΑΡΑ ΦΡΥΔΙΩΝ,1785,1814,1811,1651,1783
ΜΟΛΥΒΙ ΦΡΥΔΙΩΝ,1803,1814,1811,1651,1783
ΠΟΥΔΡΕΣ,1861,1513,1744,1651,1783
MAKE UP – FOUNDATION,1513,1861,1744,1651,1783
ΚΡΑΓΙΟΝ - ΜΟΛΥΒΙΑ ΧΕΙΛΙΩΝ,1740,1811,1499,1784,
LIP GLOSS,1499,1811,1740,1784,
BRONZER,1448,1811,1513,1861,1457
CONCEALER,1457,1811,1513,1861,1814
ΜΑΝΟ,1782,1982,1984,1978,
ΕΙΔΙΚΑ ΓΙΑ ΤΟΝ ΑΝΔΡΑ,1677,,,,
ΞΥΡΙΣΜΑ,1824,,,,
ΑΦΡΟΙ ΞΥΡΙΣΜΑΤΟΣ,1620,1428,1747,,
AFTER SHAVE,1428,1620,1750,,
ΚΡΕΜΕΣ ΓΙΑ ΕΡΕΘΙΣΜΟΥΣ,1747,1750,,,
ΑΝΔΡΙΚΗ ΣΕΙΡΑ,1576,1620,1428,1747,
ΣΩΜΑ,1907,,,,
ΚΑΘΑΡΙΣΜΟΣ,1719,,,,
ΑΦΡΟΛΟΥΤΡΑ,1621,1694,1601,1757,1975
ΑΠΟΛΕΠΙΣΗ,1601,1694,1583,,
ΑΛΑΤΑ – ΕΛΑΙΑ ΜΠΑΝΙΟΥ,1569,1694,1621,,
ΣΤΕΡΕΑ ΣΑΠΟΥΝΙΑ,1886,1694,1757,1601,
ΠΕΡΙΠΟΙΗΣΗ,1846,,,,
ΕΝΥΔΑΤΩΣΗ,1694,1621,1601,1569,
ΑΝΤΙΓΗΡΑΝΣΗ,1583,1621,1601,,
ΑΡΩΜΑΤΑ - ΜΙΣΤ,1610,1621,1602,1694,
ΑΠΟΣΜΗΤΙΚΑ,1602,1621,1602,1694,
ΛΑΔΙΑ,1757,1621,1601,1886,
ΑΠΟΤΡΙΧΩΣΗ,1607,1601,1694,,
ΤΑΤΟΥΑΖ,1909,1694,,,
ΑΔΥΝΑΤΙΣΜΑ,1561,,,,
ΑΔΥΝΑΤΙΣΜΑ – ΣΥΣΦΙΞΗ,1563,1892,,,
ΚΥΤΤΑΡΙΤΙΔΑ,1754,1563,1892,,
ΣΥΣΦΙΞΗ ΣΤΗΘΟΥΣ,1905,1694,1583,,
ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ,1892,1563,,,
ΕΠΙΔΕΡΜΙΔΕΣ ΜΕ ΠΡΟΒΛΗΜΑΤΑ,1699,,,,
ΞΗΡΟΔΕΡΜΙΑ,1821,,,,
ΑΤΟΠΙΚΑ ΔΕΡΜΑΤΑ,1614,,,,
ΨΩΡΙΑΣΗ ,1949,,,,
ΟΥΛΕΣ – ΣΗΜΑΔΙΑ - ΑΝΑΠΛΑΣΗ,1833,,,,
ΔΕΡΜΑΤΙΤΙΔΑ- ΕΡΕΘΙΣΜΟΙ- ΚΝΗΣΜΟΣ,1662,,,,
ΕΙΔΙΚΑ ΓΙΑ ΤΟΝ ΑΝΔΡΑ,1678,,,,
ΑΦΡΟΛΟΥΤΡΑ,1622,1576,1428,,
ΑΡΩΜΑΤΑ,1609,1576,1428,,
ΑΠΟΣΜΗΤΙΚΑ,1603,1576,1428,,
MIST,1516,1576,1428,,
ΜΑΛΛΙΑ,1781,,,,
ΣΑΜΠΟΥΑΝ,1879,,,,
ΤΡΙΧΟΠΤΩΣΗ,1915,1916,1893,,
ΚΑΝΟΝΙΚΑ ΜΑΛΛΙΑ,1730,1486,1486,1658,1463
ΞΗΡΑ ΜΑΛΛΙΑ,1818,1819,1820,1817,
ΛΙΠΑΡΑ ΜΑΛΛΙΑ,1770,1771,1772,1769,1463
ΒΑΜΜΕΝΑ ΜΑΛΛΙΑ,1625,1626,1560,1758,1655
ΛΕΥΚΑ – ΓΚΡΙΖΑ ΜΑΛΛΙΑ,1765,,,,
ΚΑΤΑΣΤΡΑΜΕΝΑ – ΑΔΥΝΑΜΑ ΜΑΛΛΙΑ,1735,1758,1819,1734,
ΛΙΠΑΡΗ ΠΙΤΥΡΙΔΑ,1773,1771,1658,,
ΞΗΡΟΔΕΡΜΙΑ - ΠΙΤΥΡΙΔΑ,1822,1854,,,
ΕΥΑΙΣΘΗΤΟ - ΕΡΕΘΙΣΜΕΝΟ ΤΡΙΧΩΤΟ,1707,1486,,,
ΣΜΗΓΜΑΤΟΡΡΟΙΚΗ ΔΕΡΜΑΤΙΤΙΔΑ - ΑΤΟΠΙΑ,1884,1614,,,
ΚΑΘΗΜΕΡΙΝΗ ΧΡΗΣΗ,1725,1486,,,
ΓΙΑ ΟΓΚΟ,1657,1658,1463,,
ΕΞΙΣΟΡΡΟΠΙΣΗΣ,1696,1770,,,
ΣΑΜΠΟΥΑΝ & CONDITIONER (2 ΣΕ 1),1880,1486,,,
ΠΙΤΥΡΙΔΑ,1853,1854,,,
ΛΟΣΙΟΝ - ΑΓΩΓΕΣ,1775,,,,
ΤΡΙΧΟΠΤΩΣΗ,1916,1915,1893,,
ΞΗΡΑ ΜΑΛΛΙΑ,1819,1818,1820,1817,1758
ΛΙΠΑΡΑ ΜΑΛΛΙΑ,1771,1770,1772,1769,1463
DRY SHAMPOO,1463,1770,1772,1769,1658
ΒΑΜΜΕΝΑ ΜΑΛΛΙΑ,1626,1625,1820,1817,1655
ΠΙΤΥΡΙΔΑ,1854,1853,,,
CONDITIONER,1458,,,,
ΞΗΡΑ ΜΑΛΛΙΑ,1820,1817,1819,1818,
ΛΙΠΑΡΑ ΜΑΛΛΙΑ,1772,1770,1463,1771,1769
KANONIKA ΜΑΛΛΙΑ,1486,1730,1486,1463,1655
ΠΙΤΥΡΙΔΑ,1855,1853,1854,1486,
ΑΔΥΝΑΜΑ ΜΑΛΛΙΑ,1560,1735,1658,1758,1734
ΓΙΑ ΟΓΚΟ,1658,1463,1657,,
ΓΙΑ ΛΑΜΨΗ,1655,1730,1486,1758,
ΜΑΣΚΕΣ,1789,,,,
ΞΗΡΑ,1817,1818,1819,1820,
ΛΙΠΑΡΑ,1769,1770,1463,1772,
KANONIKA,1486,1730,1463,1486,
ΚΑΤΑΣΤΡΑΜΕΝΑ – ΑΔΥΝΑΜΑ,1734,1818,1560,1658,
STYLING,1546,1879,,,
ΛΑΔΙΑ,1758,1879,,,
ΒΑΦΕΣ,1629,1625,1626,1734,
ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ,1893,1915,1734,1916,
ΕΙΔΙΚΑ ΓΙΑ ΤΟΝ ΑΝΔΡΑ,1679,1677,1824,,
ΑΝΤΗΛΙΑΚΑ,1578,,,,
ΠΡΟΣΩΠΟΥ,1869,,,,
ΚΡΕΜΕΣ - ΓΑΛΑΚΤΩΜΑΤΑ,1743,1649,1759,1543,
ΜΕ  ΧΡΩΜΑ,1796,1745,1744,1580,
ΑΝΤΙΓΗΡΑΝΤΙΚΕΣ,1585,1744,1650,,
ΓΙΑ ΕΥΑΙΑΣΘΗΤΕΣ ΕΠΙΔΕΡΜΙΔΕΣ,1654,1650,1557,1760,
ANTISPOT,1434,1557,1650,1760,
MAT ΑΠΟΤΕΛΕΣΜΑ - ΒΕΛΟΥΔΙΝΗ ΥΦΗ,1514,1543,1557,,
ΓΙΑ ΛΙΠΑΡΕΣ ΕΠΙΔΕΡΜΙΔΕΣ,1656,,,,
ΠΡΟΣΩΠΟΥ – ΣΩΜΑΤΟΣ,1870,,,,
ΓΑΛΑΚΤΩΜΑΤΑ,1649,1760,1557,1796,
SPRAY,1543,1796,1557,1580,
ΛΑΔΙΑ,1759,1760,1743,,
ΣΩΜΑΤΟΣ,1908,,,,
ΓΑΛΑΚΤΩΜΑΤΑ,1650,1743,1796,1543,
SPRAY - MOUSSE,1544,1543,1514,,
ΛΑΔΙΑ,1760,1759,1654,,
WET SKIN-DRY MIST-ANTI SAND,1557,1543,1796,,
ΠΑΙΔΙΚΑ ΑΝΤΗΛΙΑΚΑ,1840,,,,
BABY,1438,1696,1720,,
KIDS - ENFANTS,1489,1974,1623,,
ΑΝΤΗΛΙΑΚΑ ΓΙΑ ΜΑΛΛΙΑ,1581,1758,1734,,
ΕΙΔΙΚΑ ΑΝΤΗΛΙΑΚΑ,1675,1699,,,
SELF TAN,1537,1760,1601,,
AFTER SUN,1429,1715,1786,,
ΕΙΔΙΚΑ ΓΙΑ ΤΟΝ ΑΝΔΡΑ,1680,1677,,,
ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ ,1896,,,,
ΒΙΤΑΜΙΝΕΣ & ΣΥΝΔΥΑΣΜΟΙ ΤΟΥΣ 21,1636,,,,
"VITΑΜΙΝΕ A , Β- ΚΑΡΟΤΕΝΙΟ",1553,1899,,,
ΣΥΜΠΛΕΓΜΑ B,1890,,,,
ΒΙΤΑΜΙΝΗ Β1 – ΘΕΙΑΜΙΝΗ ,1637,1900,1899,,
ΒΙΤΑΜΙΝΗ Β2 – ΡΙΒΟΦΛΑΒΙΝΗ,1639,1900,1899,,
ΒΙΤΑΜΙΝΗ Β3 – ΝΙΑΣΙΝΗ,1640,1900,1942,1899,
ΒΙΤΑΜΙΝΗ Β5 – ΠΑΝΤΟΘΕΝΙΚΟ ΟΞΥ,1641,1900,1573,1899,
ΒΙΤΑΜΙΝΗ Β6 – ΠΥΡΙΔΟΞΙΝΗ,1642,1900,1942,1899,
PABA – ΠΑΡΑΑΜΙΝΟΒΕΝΖΟΪΚΟ ΟΞΥ,1520,1900,1597,1899,
ΒΙΤΑΜΙΝΗ Β12 – ΚΟΒΑΛΑΜΙΝΗ,1638,1900,1574,1899,
ΒΙΟΤΙΝΗ,1635,1900,1816,,
ΦΟΛΙΚΟ ΟΞΥ,1934,1900,1574,1899,
ΣΥΝΔΥΑΣΜΟΙ ΣΥΜΠΛΕΓΜΑΤΟΣ Β,1900,,,,
VITΑΜΙΝΕ C,1554,1597,1899,,
VITΑΜΙΝΕ D,1555,1952,1899,,
VITΑΜΙΝΕ E,1556,1899,1899,,
VITΑΜΙΝΕ K,1952,1555,1899,,
ΣΥΝΔΥΑΣΜΟΙ ΒΙΤΑΜΙΝΩΝ,1899,1899,1897,1858,
"ΜΕΤΑΛΛΑ, ΙΧΝΟΣΤΟΙΧΕΙΑ & ΣΥΝΔΥΑΣΜΟΙ ΤΟΥΣ",1799,,,,
ΑΣΒΕΣΤΙΟ,1611,1897,,,
ΒΟΡΙΟ,1645,1897,,,
ΙΩΔΙΟ,1717,1897,,,
ΚΑΛΙΟ,1727,1897,,,
ΜΑΓΓΑΝΙΟ,1778,1897,,,
ΜΑΓΝΗΣΙΟ,1779,1897,,,
ΠΥΡΙΤΙΟ,1874,1897,,,
ΣΕΛΗΝΙΟ,1881,1897,,,
ΣΙΔΗΡΟΣ,1883,1897,,,
ΧΑΛΚΟΣ,1936,1897,,,
ΧΡΩΜΙΟ,1945,1897,,,
ΨΕΥΔΑΡΓΥΡΟΣ,1948,1897,,,
ΣΥΝΔΥΑΣΜΟΙ,1897,1858,,,
ΠΟΛΥΒΙΤΑΜΙΝΟΥΧΑ & ΣΥΜΠΛΕΓΜΑΤΑ,1858,1899,1897,,
ΕΙΔΙΚΑ ΣΥΜΠΛΗΡΩΜΑΤΑ,1682,,,,
ΥΑΛΟΥΡΟΝΙΚΟ,1920,1831,1659,,
ΚΟΛΑΓΟΝΟ,1737,1831,1697,,
Α-ΛΙΠΟΙΚΟ ΟΞΥ,1570,1812,,,
ΠΡΩΤΟΓΑΛΑ,1873,1630,,,
ΧΟΝΔΡΟΣ ΚΑΡΧΑΡΙΑ,1944,1831,,,
ΓΛΟΥΚΟΣΑΜΙΝΕΣ- ΧΟΝΔΡΟΙΤΙΝΗ -MSM,1659,1831,1920,,
ΣΥΝΕΝΖΥΜΟ Q10,1901,1597,,,
ΟΥΣΙΩΔΗ ΛΙΠΑΡΑ ΟΞΕΑ,1837,1942,,,
ΠΡΟΒΙΟΤΙΚΑ - ΠΡΕΒΙΟΤΙΚΑ,1863,1653,,,
ΜΕΛΑΤΟΝΙΝΗ,1797,1559,,,
CLA,1456,1892,,,
ΗΛΕΚΤΡΟΛΥΤΕΣ,1710,1618,1565,,
ΒΑΣΙΛΙΚΟΣ ΠΟΛΤΟΣ,1628,1689,,,
ΦΛΑΒΟΝΟΕΙΔΗ,1932,1933,,,
ΕΝΖΥΜΑ,1690,1844,,,
ΛΕΚΙΘΙΝΗ,1764,1892,,,
ΧΟΛΙΝΗ,1943,1892,,,
ΑΛΛΑ ΣΥΜΠΛΗΡΩΜΑΤΑ,1572,,,,
ΦΥΤΙΚΑ ΣΥΜΠΛΗΡΩΜΑΤΑ & ΒΟΤΑΝΑ,1935,,,,
AÇAI (ΜΟΥΡΟ),1425,1597,,,
AGNUS CASTUS (ΛΥΓΑΡΙΑ),1430,1672,,,
ALFA ALFA (ΤΡΙΦΥΛΛΙ),1431,1608,,,
ALOE (ΑΛΟΗ),1432,1653,,,
ANDROGRAPHIS,1433,,,,
ARTICHOKE (ΑΓΚΙΝΑΡΑ),1435,1844,,,
ASHWAGANDΗA,1436,1559,,,
ASTRAGALUS,1437,1630,,,
BILBERRY (ΜΥΡΤΙΛΛΟ),1439,1942,,,
BLACK COHOSH,1440,1686,,,
BUTCHER'S BROOM,1449,1933,,,
CAT'S CLAW,1451,1597,,,
CENTAURIUM (ΚΕΝΤΑΥΡΙΟ),1452,,,,
CHLORELLA (ΧΛΩΡΕΛΛΑ),1453,1597,,,
CINNAMON (ΚΑΝΕΛΛΑ),1454,1663,,,
CRANBERRY (ΚΡΑΝΑ),1459,1836,,,
DANDELION ROOT (ΠΙΚΡΑΛΙΔΑ),1460,1851,,,
DEVIL'S CLAW (ΑΡΠΑΓΟΦΥΤΟ),1461,1831,,,
DONG QUAI,1462,1672,,,
ECHINACEA (ΕΧΙΝΑΤΣΙΑ),1464,1630,,,
FENUGREEK (ΤΡΙΓΩΝΕΛΛΑ),1466,1942,,,
FEVERFEW,1467,1852,,,
GARLIC (ΣΚΟΡΔΟ),1470,1852,,,
GINGER (ΠΙΠΕΡΟΡΙΖΑ),1473,1844,,,
GINGKO BILOBA (ΤΖΙΝΓΚΟ ΜΠΙΛΟΜΠΑ),1474,1802,,,
GINSENG (ΤΖΙΝΣΕΓΚ),1475,1689,,,
GOJI,1476,1597,,,
GOTU COLA (ΣΕΝΤΕΛΑ),1477,1933,1892,,
GRAPESEED (ΣΤΑΦΥΛΙ),1478,1933,,,
GREEN COFFEE (ΠΡΑΣΙΝΟΣ ΚΑΦΕΣ),1480,1892,,,
GREEN TEA (ΠΡΑΣΙΝΟ ΤΣΑΪ),1479,1892,,,
GUARANA (ΓΚΟΥΑΡΑΝΑ),1481,1689,,,
HAWTHORNE BERRY (ΚΡΑΤΑΙΓΟΣ),1482,1942,,,
HOLY BASIL,1483,,,,
HORSE CHESTNUT (ΑΓΡΙΟΚΑΣΤΑΝΟ),1485,1567,,,
LIQORICE (ΓΛΥΚΟΡΙΖΑ),1501,1633,,,
LUFFA (ΛΟΥΦΑ),1510,1876,,,
MACA (ΜΑΚΑ),1512,1889,,,
MILK THISTLE (ΓΑΪΔΟΥΡΑΓΚΑΘΟ),1515,1605,,,
NETTLE - ΤΣΟΥΚΝΙΔΑ,1517,1866,,,
OLIVE LEAF (ΦΥΛΛΑ ΕΛΙΑΣ),1518,1597,,,
OREGANO (ΡΙΓΑΝΗ),1519,1596,,,
PASSIFLORA (ΠΑΣΣΙΦΛΟΡΑ),1521,1559,,,
PAU D'ARCO,1522,1844,,,
POMEGRANATE (ΡΟΔΙ),1524,1554,1597,,
RED CLOVER (ΚΟΚΚΙΝΟ ΤΡΙΦΥΛΛΙ),1527,1686,,,
REISHI (ΓΑΝΟΔΕΡΜΑ),1529,1597,,,
RESVERATROL (ΡΕΣΒΕΡΑΤΡΟΛΗ),1530,,,,
RHODIOLA (ΡΟΔΙΟΛΑ/ ΡΟΔΙΟΣ ΡΙΖΑ),1531,1802,,,
RUTIN (ΡΟΥΤΙΝΗ),1533,,,,
SAW PALMETTO (ΣΕΡΕΝΟΑ),1534,1866,,,
SCUTELLARIAE (ΣΚΟΥΤΕΛΛΑΡΙΑ),1536,1573,,,
